@relation 'pig_acdc_prediction-weka.filters.unsupervised.attribute.Remove-R1,6-8-weka.filters.supervised.instance.SMOTE-C1-K5-P2090.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P10176.0-S1-weka.filters.unsupervised.attribute.Add-NLink_Overload-C3-W1.0-weka.filters.unsupervised.attribute.Add-NUnused_Interface-C4-W1.0-weka.filters.unsupervised.attribute.Add-NClone_Comp-C6-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z22.0'

@attribute label {b,a,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
b,0,0,0,0,0,0
b,1,0,0,1,0,0
c,0,0,0,0,0,0
c,1,0,0,1,0,0
a,1,0,0,0,0,1
b,1,0,0,0,0,0
b,0,0,0,0,0,0
c,1,0,0,1,0,0
c,0,0,0,0,0,0.821788
c,0.65597,0,0,0,0,0.996555
a,1,0,0,0,0,1
c,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0,0
c,1,0,0,1,0,0
c,1,0,0,1,0,0.67106
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0,0
c,1,0,0,1,0,0
a,0,0,0,0,0,0
c,1,0,0,1,0,0
b,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,1,0,0,1,0,0
a,1,0,0,1,0,0
a,0,0,0,0,0,0
c,0,0,0,0,0,0.075823
b,0,0,0,0,0,0
b,0,0,0,0,0,0
c,0.64453,0,0,0.389168,0,0
c,0,0,0,0,0,0
b,0,0,0,0,0,0
b,0.164288,0,0,0,0,1
c,1,0,0,1,0,0
a,1,0,0,1,0,0
c,1,0,0,1,0,0
b,0,0,0,0,0,0
a,1,0,0,0,0,0
c,1,0,0,1,0,0
a,0,0,0,0,0,0
c,0.07201,0,0,0.681762,0,1
c,1,0,0,1,0,0
b,1,0,0,1,0,0
b,0,0,0,0,0,0
b,0,0,0,0,0,0
b,1,0,0,1,0,1
b,0,0,0,0,0,0
b,1,0,0,1,0,1
b,1,0,0,1,0,0
c,1,0,0,1,0,0
c,1,0,0,1,0,0.751359
c,1,0,0,1,0,0
a,0,0,0,0,0,0
c,0,0,0,0,0,0
b,1,0,0,1,0,0
a,1,0,0,1,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0.543424,0,0,0,0,1
c,1,0,0,1,0,0
c,1,0,0,1,0,0
b,1,0,0,0,0,0
a,0,0,0,0,0,0
b,1,0,0,1,0,1
c,0.741122,0,0,0,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,0
b,1,0,0,1,0,0
a,1,0,0,1,0,0
b,0,0,0,0,0,0.369192
b,1,0,0,1,0,0
c,0.416412,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,1,0,0,0.042988,0,0
a,0,0,0,0,0,0
b,1,0,0,1,0,1
b,0,0,0,0,0,0
a,0,0,0,0,0,1
c,1,0,0,1,0,0
a,1,0,0,0,0,0
c,1,0,0,1,0,0
b,1,0,0,1,0,1
c,0.7576,0,0,0.005637,0,1
a,0,0,0,0,0,0
c,0.707156,0,0,0.934551,0,0
a,1,0,0,0,0,1
a,1,0,0,1,0,0
a,1,0,0,0,0,0
c,1,0,0,1,0,0
b,1,0,0,1,0,1
b,1,0,0,1,0,1
c,1,0,0,1,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
b,1,0,0,1,0,1
b,0,0,0,0,0,0
b,0,0,0,0,0,0
c,1,0,0,1,0,0
b,1,0,0,0,0,1
c,1,0,0,1,0,0.938783
a,1,0,0,0,0,1
c,0.363965,0,0,0.971488,0,0
b,0,0,0,0,0,0
c,0.115331,0,0,0,0,0.13854
a,0,0,0,0,0,1
c,1,0,0,1,0,0
c,0,0,0,0,0,0.020575
a,0,0,0,0,0,0
b,1,0,0,0,0,0
c,1,0,0,1,0,0
c,1,0,0,1,0,0
a,0,0,0,0,0,0
c,1,0,0,1,0,0
a,1,0,0,1,0,0
b,0,0,0,0,0,0
b,1,0,0,1,0,0
c,0.711332,0,0,0.35026,0,0
a,0,0,0,0,0,0
b,0,0,0,0,0,0
a,0,0,0,0,0,0
a,1,0,0,1,0,0
a,1,0,0,1,0,0
a,0,0,0,0,0,0
b,1,0,0,0,0,0
b,0,0,0,0,0,0
